Age,Ethnicity,Gender,Sexual Orientation,Profession,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q11,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q24,Q25,Q26,Q27,Q28,Q75,Q76,Q77,Q78,Q79,Q81,Q82,Q83,Q84,Q85,Q86,Q52,Q53,Q54,Q55,Q56,Q95,Q96,Q97,Q98,Q99,Q101,Q103,Q104,Q105,Q106,Q100,type_transgression
2,4,2,1,1,1,3,1,4,5,2,1,4,1,3,4,3,2,1,1,5,5,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,"I think streaming music is still okay if the celebrity messes up because there’s a large degree of separation between you and the celebrity, but then idolizing the celebrity, wanting to meet them, being a super fan are all wrong and excessive in such circumstances",,,,,,,,,,,,,,,,,1
2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,He made her famous,,,,,,,,,,,,,,,,,1
2,4,1,1,1,4,4,5,5,3,4,2,4,3,5,5,5,5,2,5,4,5,3,,,,,,,,,,,,,,,,,2,1,2,1,3,3,3,2,2,3,7,6,7,5,7,,0
2,4,2,1,1,4,5,4,5,5,3,4,3,4,5,5,4,4,1,4,2,4,2,2,1,4,2,4,2,2,2,2,4,2,2,4,4,4,,,,,,,,,,,,,,,,,,1
2,1,2,1,2,3,4,4,5,3,2,1,4,1,3,5,4,5,1,5,5,4,2,,,,,,,,,,,,,,,,,2,1,2,1,4,4,1,2,2,2,8,8,8,5,8,"For me it’s a difference between what is her personal life, e.g. relationships and cheating and then what conflicts with my own morals like anti-transphobia. I don’t care what she does in her personal life as long as it isn’t deeply conflicting with my own where it is something I can’t support.",0
2,4,2,1,1,3,4,3,4,4,3,2,3,2,5,4,4,4,2,2,3,4,2,,,,,,,,,,,,,,,,,3,2,4,2,3,3,4,4,2,3,6,6,6,5,6,I think sometimes it depends how celebrity PR teams handle the scandals which also impact how fans continue to perceive them so it’s hard to say whether I would still support her would probably depend on the degree of involvement with the actions and continue to support her future pursuits vs listening to her old stuff would also be harder to decide,0
2,4,2,1,1,2,2,2,4,2,2,1,2,2,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,I’m not a huge fan of Taylor swift anyways. I preferred Taylor swift many years ago for eg when she released songs such as I knew you were trouble or 22. But in recent years I somewhat dislike her and find her quite irresponsible. She has a strong fan base but this means they don’t care about the fact she has a huge carbon footprint or someone died at her concert. I think she could do so much more with her status to make positive impacts and raise awareness about things,,,,,,,,,,,,,,,,,1
2,4,2,5,1,4,4,2,5,2,4,1,2,2,5,5,4,4,1,4,2,4,4,4,1,4,2,5,4,1,4,1,4,4,1,4,1,2,"Taylor swift is a complicated figure. The primary reason to continue listening to her music no matter her actions is because of the quality of the music itself c the way it’s been integrated into society, as well as my own life due to its long time presence. The impact of Taylor swifts carbon footprint does not affect my listening as much because I think she is politically active in other spheres, as well as providing a in demand service with her concerts, whixh is why I would not cancel her. While I have engaged in buying tickets for her concerts, I don’t ‘support her financially’ through other means because I don’t associate with the Taylor swift fan base in that way. I also think supporting her financially is maybe not the best way to phrase this action because sometimes it’s about social belonging and signaling rather than driven by the motivation to be a part of this artists life ",,,,,,,,,,,,,,,,,1
2,1,1,2,1,3,2,1,4,4,2,1,2,2,2,4,1,2,1,4,3,2,1,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,1,7,7,7,6,5,politics are far more important to me than interpersonal relations. cheating is cheating. being mates with a dictator is evil.,0
2,1,3,4,1,3,5,3,5,5,5,4,5,4,5,5,5,5,3,5,5,5,5,2,2,4,2,4,3,1,2,2,2,2,1,3,2,1,"I like Taylor Swift's music. I have followed her music career for a long time. She is not immune to criticism, and I will critique her actions. I also understand that she gets more flack than other celebrities with her presence, which is sometimes unjustified. If she suddenly started doing and saying horrible things, I would find it hard to stop listening to her music, as it has been central to large parts of my life, but I'd like to think I'd be able to give up her music on principle.",,,,,,,,,,,,,,,,,1
